Nombre DB,Publica,Autor,Fuente,Enfermedad,Tipo,Características,Correo Contacto,Año,Revista,Anotaciones
Parkinsons Telemonitoring Data Set,Disponible,"Athanasios Tsanas, Max Little ","UCI, http://archive.ics.uci.edu/ml/datasets/Parkinsons+Telemonitoring",Parkinson,Ccas Extraidas,"DS Characteristics:  Multivariate || Attribute Characteristics:  Integer, Real || Number of Instances:  5875|| Number of Attributes:  26 || Mode:Regression",NO HACEN FALTA,2009,IEEE Transactions on Biomedical Engineering,"A PARTE DE ESTE ARTÍCULO, ESTOS DOS AUTORES 
APARECEN EN INFINIDAD DE OTROS ARTÍCULOS SOBRE EL 
PARKINSON Y LA VOZ, EN EL QUE CADA UNO SE DESCRIBE 
UNA DB DIFERENTE (entiendo que la misma que la van 
mejorando con los años y haciendo más grande). TAMBIÉN 
PARTICIPAN EN LA INICIATIVA PARKINSONS VOICE INITIATIVE.
Esta en concreto es una databse encontrada en la UCI. Es usada en varios artículos: 
-Little MA, McSharry PE, Hunter EJ, Ramig LO (2009),
'Suitability of dysphonia measurements for telemonitoring of Parkinson's 
disease',
IEEE Transactions on Biomedical Engineering, 56(4):1015-1022

Little MA, McSharry PE, Roberts SJ, Costello DAE, Moroz IM.
'Exploiting Nonlinear Recurrence and Fractal Scaling Properties for Voice 
Disorder Detection',
BioMedical Engineering OnLine 2007, 6:23 (26 June 2007)
"
Parkinsons Data Set,Disponible,Max Little,"UCI
https://archive.ics.uci.edu/ml/datasets/parkinsons",Parkinson,"Ccas 
Extraidas","Data Set Characteristics: Multivariate
Number of Instances: 197
Number of Attributes: 23
Attribute Characteristics: Real",NO HACEN FALTA,2007,--,"Igual o parecido al anterior pero más pequeño. Parece su predecesor. 
Diferencia: anterior indicado para regresión y este para clasificación."
"Early biomarkers of 
Parkinson’s disease based 
on natural connected speech 
Data Set",Disponible,"Charles University in Prague, First Faculty of Medicine, 
Department of Neurology and Centre of Clinical Neuroscience, Prague, Czech Republic","UCI
https://archive.ics.uci.edu/ml/datasets/Early+biomarkers+of+Parkinson%E2%80%99s+disease+based+on+natural+connected+speech",Parkinson,"Ccas 
Extraidas","Data Set Characteristics:  Multivariate
Number of Instances:130
Attribute Characteristics:Integer, Real
Number of Attributes:65
Associated Tasks:Classification, Regression
-30 pacientes con PD, 
-50 pacientes con RBD y Sinucleinopatías 
-50 controles cardiacos.",NO HACEN FALTA,2017,--,"Los atributos parecen interesantes ya que 
SACA MUCHOS MÁS ATRIBUTOS QUE EN OTROS DATASETS:
- atributos relaccionados con caracteristicas del analisis del discurso
- atributos de identificacion del paciente, sexo.
- atributos de la enfermedad, grado, PD o HC o RBD..."
"Parkinson Speech Dataset
 with Multiple Types of Sound 
Recordings Data Set",Disponible,"Olcay KURSUN, PhD.,  Erdogdu Sakar, B.
Istanbul University, 
Department of Computer Engineering","UCI
http://archive.ics.uci.edu/ml//datasets/Parkinson+Speech+Dataset+with++Multiple+Types+of+Sound+Recordings",Parkinson,"Ccas 
Extraidas","Data Set Characteristics: Multivariate
Number of Instances:1040
Attribute Characteristics:Integer, Real
Number of Attributes: 26",NO HACEN FALTA,2014,--,Sigue la tónica de los primeros dataset vistos
"Detecting Parkinson’s disease 
from sustained phonation and 
speech signals",Disponible,"Evaldas Vaiciukynas
Antanas Verikas
Adas Gelzinis1
Marija Bacauskiene
Kaunas University of Technology
Center for Applied Intelligent Systems Research (CAISR), Halmstad University, Halmstad, Sweden","ARTICULO
http://sci-hub.tw/10.1371/journal.pone.0185613",Parkinson,"Ccas 
Extraidas","3 archivos
Archivo S1. Se presenta un análisis de importancia variable en la tarea de detección de parkinson para los modelos de RF y meta-RF de mejor rendimiento.
Archivo S2. Datos experimentales, en forma de características de audio extraídas de grabaciones de voz y voz obtenidas a través del canal de micrófono acústico cardioide.
Archivo S3. Datos experimentales, en forma de funciones de audio extraídas de la voz y la grabación de voz",NO HACEN FALTA,2017,Plos | one,"Varios archivos con datos extraidos de la voz.
 En este articulo también se pueden pedir los datos
 crudos, audio en bruto, por lo que se repetirá más abajo."
"Sensorimotor adaptation of 
voice fundamental frequency 
in Parkinson’s disease",Disponible,"Defne Abur, Rosemary A. Lester-Smith
Universidad de BOSTON","ARTICULO
sci-hub.se/10.1371/journal.pone.0191839",Parkinson,"Ccas 
Extraidas","Datos de pacientes con y sin enfermedad:
16 con enfermedad
19 sin ella",NO HACE FALTA,2018,PLOS | one,"Artículo de neurología pero que quizás contendrá datasets interesantes. Los datos que aparecen son más confusos ya que están dirigidos a neurología.
Los datos se encuentran en el apartado Supporting information dentro del articulo.
Es un XLSX con diversos datos derivados de las voces"
"A PARTIR DE AQUÍ SE RECOPILARÁN LAS BASES DE DATOS QUE ESTARÁN DISPONIBLES A PETICIÓN DE LOS AUTORES, O QUE REQUIEREN PETICIÓN O PROCEDIMIENTO PARA ACCEDER A ELLAS",,,,,,,,,,
"Speech-based Parkinson's
 Disease Classifier
Assessment of Speech Intelligibility in Parkinson’s Disease Using a Speech-To-Text System",OBTENIDO,"Github: acheketa
Dueño datos: Prof. Giovanni Dimauro, Universita' degli Studi di Bari 'Aldo Moro'","GITHUB y articulo
https://github.com/acheketa/parkinsons
Articulo: https://ieeexplore.ieee.org/document/8070308",Parkinson,Audio Bruto,28 pacientes y 16 audios cada uno. Aprox 6:30 de cada paciente.Contiene excels con info de audios y pacientes.Audios clasificados con red Gan y Wgan. ,giovanni.dimauro@uniba.it ,2017,IEEE Access,"Contactado con Giovanni Dimauro profesor de la Universidad de Bari. OBTENIDOS.
A parte de estar utilizados en ese github, también se utilizan en un paper llamado:
Assessment of Speech Intelligibility in Parkinson’s Disease Using a Speech-To-Text System de Giovanni Dimauro"
"Detecting Parkinson’s disease 
from sustained phonation and 
speech signals",Bajo Demanda,"Evaldas Vaiciukynas
Antanas Verikas
Adas Gelzinis1
Marija Bacauskiene
Kaunas University of Technology
Center for Applied Intelligent Systems Research (CAISR), Halmstad University, Halmstad, Sweden","ARTICULO
http://sci-hub.tw/10.1371/journal.pone.0185613",Parkinson,Audio Bruto,99 Pacientes:  63 de parkinson y 34 de enfermedad cardiaca. De cada paciente varios audios UTILIZA RANDOM FOREST,ANG.klinika@kaunoklinikos.lt,2017,Plos | one,"Como bien se dice en el artículo:
Data access queries regarding raw recordings should be
addressed to the Department of Otorhinolaryngology at Lithuanian University of Health Sciences (ANG.klinika@kaunoklinikos.lt)"
"New Spanish speech corpus database 
for the analysis of people suffering 
from Parkinson’s disease",Bajo Demanda,"J. R. Orozco-Arroyave
J. D. Arias-Londoño
and J. F. Vargas-Bonilla","ARTICULO
https://www.researchgate.net/publication/265592171_New_Spanish_speech_corpus_database_for_the_analysis_of_people_suffering_from_Parkinson's_disease",Parkinson,Audio Bruto,"ESTÁN EN CASTELLANO
AUDIOS DE 50 PACIENTES","rafael.orozco@udea.edu.co,
jdarias@udea.edu.co,
jfvargas@udea.edu.co",2014,--,"Estos autores también forman como otro grupo de investigación sobre 
este tema ya que tienen un monón de artículos juntos. En otros muchos
artíuculos se nombran los datasets de Orozco Arroyave, Arias-Londoño y Vargas Bonilla"
