Dataset,KNN8,Tree,MLP10,RF,SVM,Bayes,GBC,Ada
art_rt,0.6,0.58,0.61,0.6599999999999999,0.6199999999999999,0.6599999999999999,0.6799999999999999,0.7
art_w_atleta,0.63,0.5700000000000001,0.62,0.48999999999999994,0.5599999999999999,0.59,0.59,0.63
art_w_braso,0.53,0.5399999999999999,0.51,0.49000000000000005,0.61,0.6399999999999999,0.58,0.53
art_w_campana,0.5799999999999998,0.5200000000000001,0.6,0.6000000000000001,0.57,0.6399999999999999,0.62,0.6499999999999999
art_w_gato,0.67,0.55,0.59,0.5599999999999999,0.63,0.6399999999999999,0.6,0.6
art_w_petaka,0.5700000000000001,0.5700000000000001,0.6599999999999999,0.5999999999999999,0.5900000000000001,0.6499999999999998,0.69,0.6100000000000001
fon_rt,0.55,0.54,0.54,0.5900000000000001,0.5399999999999999,0.5900000000000001,0.62,0.76
fon_v_A,0.5833333333333333,0.5899999999999999,0.6266666666666666,0.65,0.6399999999999999,0.6366666666666666,0.6566666666666667,0.6466666666666667
fon_v_E,0.6100000000000001,0.6199999999999999,0.6633333333333333,0.6466666666666667,0.6466666666666666,0.6466666666666667,0.64,0.6166666666666666
fon_v_I,0.6033333333333334,0.5833333333333333,0.6666666666666667,0.6399999999999999,0.63,0.63,0.63,0.6
fon_v_O,0.5866666666666667,0.58,0.62,0.6366666666666666,0.6133333333333333,0.6133333333333333,0.65,0.6166666666666666
fon_v_U,0.6733333333333333,0.61,0.69,0.6833333333333333,0.67,0.65,0.6966666666666667,0.6733333333333333
fon_w_atleta,0.5855555555555555,0.5866666666666667,0.6155555555555555,0.5844444444444444,0.4722222222222222,0.6133333333333333,0.5933333333333333,0.5644444444444445
fon_w_braso,0.5194444444444445,0.5477777777777777,0.5194444444444445,0.5441666666666667,0.47444444444444445,0.5455555555555556,0.5480555555555556,0.6116666666666667
fon_w_campana,0.6399999999999999,0.5900000000000001,0.5900000000000001,0.6199999999999999,0.5900000000000001,0.5900000000000001,0.69,0.64
fon_w_gato,0.5321428571428573,0.5410714285714285,0.6267857142857143,0.6160714285714285,0.5428571428571428,0.6124999999999999,0.6303571428571428,0.525
fon_w_petaka,0.4925,0.5175,0.5075,0.48250000000000004,0.41500000000000004,0.4225,0.5375,0.45499999999999996
prs_rt,0.6299999999999999,0.5599999999999999,0.6300000000000001,0.53,0.6099999999999999,0.63,0.5799999999999998,0.5399999999999999
vggish_embed_rt,0.7,0.5700000000000001,0.74,0.6299999999999999,0.6799999999999999,0.5800000000000001,0.69,0.6100000000000001
vggish_embed_v_A,0.6314285714285715,0.5985714285714285,0.7104761904761905,0.6459523809523811,0.6630952380952381,0.6590476190476191,0.7385714285714284,0.7209523809523809
vggish_embed_v_E,0.6310509031198687,0.5922660098522168,0.6767405582922824,0.6410509031198686,0.6372249589490969,0.5751231527093597,0.6986535303776684,0.6875862068965517
vggish_embed_v_I,0.6522669220945083,0.572286079182631,0.6941662105455209,0.658821382959314,0.6697546068235722,0.6267743112570698,0.6086891078270388,0.6012817004196315
vggish_embed_v_O,0.5782905982905983,0.5547635327635327,0.6164786324786325,0.5309515669515669,0.5615783475783476,0.6116125356125356,0.6268433048433049,0.6149857549857549
vggish_embed_v_U,0.6192307692307691,0.5984615384615384,0.5956923076923076,0.5953846153846154,0.5241538461538461,0.5513846153846155,0.6895384615384614,0.6661538461538461
