Dataset,KNN8,Tree,MLP10,RF,SVM,Bayes,GBC,Ada
art_rt,0.666,0.58,0.692,0.664,0.76,0.6940000000000001,0.752,0.784
art_w_atleta,0.6459999999999999,0.5700000000000001,0.744,0.542,0.6839999999999999,0.638,0.6759999999999999,0.732
art_w_braso,0.5900000000000001,0.5399999999999999,0.5720000000000001,0.508,0.6759999999999999,0.6920000000000001,0.636,0.5439999999999999
art_w_campana,0.6380000000000001,0.5200000000000001,0.652,0.638,0.7,0.6779999999999999,0.6679999999999999,0.708
art_w_gato,0.7060000000000001,0.55,0.6360000000000001,0.6260000000000001,0.6759999999999999,0.6719999999999999,0.6839999999999999,0.632
art_w_petaka,0.5940000000000001,0.5700000000000001,0.6679999999999999,0.6740000000000002,0.708,0.716,0.724,0.616
fon_rt,0.522,0.54,0.5160000000000001,0.6159999999999999,0.44400000000000006,0.5880000000000001,0.692,0.8400000000000001
fon_v_A,0.6113333333333333,0.5900000000000001,0.6915555555555557,0.6728888888888889,0.6857777777777778,0.6817777777777778,0.6884444444444444,0.652
fon_v_E,0.6204444444444444,0.62,0.7364444444444443,0.6891111111111111,0.7031111111111111,0.7157777777777777,0.6759999999999999,0.6511111111111111
fon_v_I,0.6408888888888888,0.5833333333333334,0.72,0.6513333333333333,0.6768888888888889,0.668,0.6857777777777778,0.6253333333333333
fon_v_O,0.6266666666666667,0.5800000000000001,0.6808888888888889,0.6995555555555557,0.692,0.6751111111111111,0.696,0.6484444444444445
fon_v_U,0.7215555555555555,0.61,0.7644444444444444,0.7097777777777778,0.7506666666666667,0.7255555555555556,0.7377777777777778,0.7115555555555556
fon_w_atleta,0.651,0.5875000000000001,0.6169999999999999,0.6145,0.5820000000000001,0.6379999999999999,0.6300000000000001,0.5280000000000001
fon_w_braso,0.537125,0.545,0.6395000000000001,0.515125,0.5575,0.50375,0.6115,0.59325
fon_w_campana,0.6780000000000002,0.5900000000000001,0.6639999999999999,0.692,0.608,0.6199999999999999,0.744,0.6439999999999999
fon_w_gato,0.5927083333333334,0.5374999999999999,0.60625,0.6791666666666666,0.61875,0.6270833333333334,0.7104166666666667,0.5958333333333333
fon_w_petaka,0.449625,0.5175000000000001,0.44475,0.444125,0.36875,0.418,0.5282500000000001,0.398
prs_rt,0.6460000000000001,0.5599999999999999,0.7,0.5760000000000001,0.6799999999999999,0.68,0.584,0.6040000000000001
vggish_embed_rt,0.8139999999999998,0.5700000000000001,0.8240000000000001,0.758,0.792,0.642,0.712,0.6399999999999999
vggish_embed_v_A,0.7389580498866213,0.5985714285714285,0.7959297052154194,0.7262596371882086,0.7170793650793652,0.7520861678004535,0.8101655328798186,0.791453514739229
vggish_embed_v_E,0.693095238095238,0.5923809523809525,0.7297596371882087,0.6920816326530612,0.6709614512471656,0.6241938775510205,0.7343900226757369,0.7378866213151928
vggish_embed_v_I,0.7215384615384617,0.5722527472527472,0.7056109366823653,0.6915070643642072,0.6939508110936682,0.6741810570381999,0.6439429618001048,0.6814233385661957
vggish_embed_v_O,0.6255212735981968,0.5557234432234431,0.6369399830938293,0.5498415046491969,0.6418568610876304,0.6089884474499859,0.668505212735982,0.6452240067624684
vggish_embed_v_U,0.6516025641025642,0.5977564102564102,0.6500493096646943,0.6644723865877713,0.6374260355029586,0.6414940828402367,0.7609960552268245,0.7091222879684419
